gene,module,taxa,untrimmed_columns,trimmed_columns,tdg09_testable_sites,codons_analysed
CLOCK,Positive arm,59,991,841,177,991
NPAS2,Positive arm,58,1145,814,351,1120
ARNTL,Positive arm,60,778,620,50,750
PER1,Negative arm,60,1643,1233,409,1584
PER2,Negative arm,60,1726,1208,801,1704
PER3,Negative arm,56,2122,897,637,1640
CRY1,Negative arm,59,670,582,80,666
CRY2,Negative arm,60,665,592,211,661
NR1D1,Auxiliary loop,60,760,610,144,731
NR1D2,Auxiliary loop,60,660,562,156,660
RORA,Auxiliary loop,58,602,466,25,602
RORB,Auxiliary loop,60,665,459,34,609
RORC,Auxiliary loop,60,790,518,210,753
CSNK1D,Post-translational,40,792,401,12,553
CSNK1E,Post-translational,52,564,509,174,564
FBXL3,Post-translational,60,442,426,34,442
BHLHE40,Output repressors,60,666,407,132,599
BHLHE41,Output repressors,58,768,582,183,720
